dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
23_cmc,0.016055583953857422,0.004179832733924749,0.0039269447326660155,0.004083797332056798,0.6693785310734464,0.030109406854932148,0.6508089764926149,0.048737792942267245,0.4880253968253968,0.035732543622324725,0.5576349572250899,0.04007080903932382,0.7018859365705519,0.046500204256006296
28_optdigits,1.1365156650543213,0.009101640235254728,0.003536558151245117,0.0015739223444744938,0.9859430604982207,0.004034086850090644,0.9350460956526723,0.018253486807214406,0.9266971777269261,0.03496093567080451,0.9304538144325363,0.02035866825694152,0.9952531714946866,0.0016004122645459098
292_Australian,0.0057202339172363285,0.0034778234608189005,0.006311941146850586,0.0031822706952573444,0.8565217391304347,0.03845362075774377,0.8961210645717687,0.02095289808073106,0.83796992481203,0.05908599690121405,0.8653843116741895,0.03911356569361284,0.9259259784719719,0.026140538103957858
294_satellite_image,1.1265230655670166,0.01266581767689321,0.0031899452209472657,0.0016527528547188683,0.9807303807303807,0.01111301269854302,0.9577613103060869,0.03507538714608679,0.9628451597794385,0.02065215998852246,0.9599404003780412,0.022561231075459376,0.9971270398362011,0.002371760826134631
30_page-blocks,0.029550743103027344,0.003701624078008151,0.007867050170898438,0.002192405059505507,0.92544739675941,0.01602918029236929,0.944882851608925,0.01624395456234825,0.9743436796207627,0.02279592992646811,0.9590654668709359,0.009123204797542857,0.8558394371836495,0.09511550250388964
311_oil_spill,0.017179346084594725,0.002924375338917676,0.004022073745727539,0.003970624921529566,0.9166799408351348,0.06302203629731463,0.964717374698866,0.011441047242718194,0.9486157666045933,0.07785072446792381,0.9544056817083165,0.03775296513568806,0.7499914649286158,0.10592216039977427
312_scene,1.1526087284088136,0.01368760600702088,0.0032695770263671876,0.001078785405750583,0.9842133867030134,0.010468247511453166,0.9855497408084736,0.009521755923596036,0.9954468738013041,0.004906674504896785,0.9904551018892122,0.006305835024488363,0.9834723064289213,0.012786360886123725
316_yeast_ml8,1.1153793811798096,0.008698109586480006,0.0028653621673583986,0.002210974105960963,0.9859333025340931,0.0008222776576586463,0.9859333025340931,0.0008222776576586463,1.0,0.0,0.992916660337088,0.00041672521122810614,0.923246279643933,0.028656901901964755
329_hayes-roth,0.005444812774658203,0.0038378883378796156,0.0008047580718994141,0.0016095161437988282,0.6625,0.11075028216668344,0.5943836864889496,0.11910460959580872,0.6,0.13234346564680963,0.5916296296296297,0.11633818542595127,0.7692307692307693,0.08697389092688598
333_monks-problems-1,0.005315160751342774,0.0009674664674409199,0.0023885250091552736,0.0008094370860015724,0.6438223938223938,0.06688507427574443,0.6551825651629753,0.08831808491916102,0.666038961038961,0.09395940098555246,0.6521581686601394,0.04702211371838351,0.6781760204081633,0.14367538631254592
334_monks-problems-2,0.006206321716308594,0.00386773725384745,0.0020048141479492186,0.002631499289096104,0.5989118457300275,0.09655169305511269,0.6328639081603509,0.04115044122824845,0.8962025316455696,0.17764865613011477,0.73771939941351,0.09568216496185743,0.5343168820476631,0.1133900240229936
335_monks-problems-3,0.004708147048950196,0.0028589041239150004,0.003995084762573242,0.002765787399370326,0.9638984438984439,0.011396348574652828,0.9838709677419356,0.032258064516129045,0.9477918935269207,0.022196039411952955,0.9648029163818638,0.010332006954439485,0.9581806240945141,0.009473193674632027
336_SPECT,0.0038232326507568358,0.0029277225086427544,0.004466724395751953,0.0039026731180207704,0.853948287910552,0.0536421871073738,0.8778853878893524,0.027306720203171226,0.9479512735326688,0.04865090284936612,0.9111732445465579,0.033930164746913766,0.8479865096144167,0.09645608617068055
36_segment,0.018843984603881835,0.002693584423199085,0.003289937973022461,0.004077997392964093,0.9974025974025974,0.002120770340071998,0.9940298507462686,0.011940298507462678,0.9878787878787879,0.006060606060606055,0.9909085691327556,0.00735302910819024,0.9997474747474747,0.0004118036133171983
375_JapaneseVowels,0.0468409538269043,0.005182158080201964,0.006940078735351562,0.004521187496688644,0.9383623807825382,0.022089433013737458,0.8508570131508518,0.09443479269742167,0.7805626598465473,0.18057856439998232,0.795317613766119,0.09254019300937813,0.9861925025384553,0.010620842920810922
377_synthetic_control,0.016854000091552735,0.00302768769267399,0.001530933380126953,0.0015940880467340977,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37_diabetes,0.017240476608276368,0.004061778077959355,0.001001739501953125,0.00200347900390625,0.7695696460402341,0.025289847371539997,0.7905308346922005,0.021828304362240515,0.8800000000000001,0.03162277660168382,0.832447764889235,0.019266951766132027,0.8300656883298393,0.02465355268477199
40474_thyroid-allbp,0.02429041862487793,0.004051211983132343,0.003797483444213867,0.003913665013525605,0.7189285714285714,0.012757550785351207,0.7984298064531796,0.01060772808094965,0.6929701131310857,0.030538066157243374,0.7415264344860889,0.016759681901848896,0.808541961846806,0.012275067965459503
40475_thyroid-allhyper,0.021704435348510742,0.002746124999446361,0.005561256408691406,0.00269539065360149,0.7189285714285714,0.012757550785351207,0.7984298064531796,0.01060772808094965,0.6929701131310857,0.030538066157243374,0.7415264344860889,0.016759681901848896,0.808541961846806,0.012275067965459503
